"id","Kichwa","Español","Kichwa2"
"2397","Ñapash shamuna pacha"," Futuro inmediato ","Hamuq pacha chaylla"
"2398","Ñawchina"," Auxiliar- cooperar- influenciar- contribuir ","Yanapay- Yanapakuy- Influye- Yanapakuy"
"2399","Ñawchina- yanapana"," Auxiliar ","Yanapaq"
"2400","Ñawi"," Cara- rostro ","Uya"
"2401","Ñawi chakata"," Glándula pineal ","Glándula pineal"
"2402","Ñawi chichu"," Mejilla ","Uya"
"2403","Ñawi lulun"," Ojo ","Ñawi"
"2404","Ñawi millma"," Pestaña ","Tab"
"2405","Ñawi pata millma"," Ceja ","Ceja"
"2406","Ñawirina- killkakatina"," Leer. ","Ñawinchay."
"2407","Ñawirina- killkakatina (Taller B)"," Leer ","Ñawinchay"
"2408","Ñawpa"," Delante tiempo: ","ñawpaqmanta pacha:"
"2409","Ñawpa kawsay pacha"," Eras Antiguas ","ñawpa pachakuna"
"2410","Ñawpa pachak-watakuna"," largos siglos ","unay pachak watakuna"
"2411","Ñawpa uma tullu"," Hueso frontal del cráneo ","uma tullu ñawpaq tullu"
"2412","Ñawpak"," Principales ","qullana"
"2413","Ñawpakawsay imarikuchi kunakamay"," Vestigios Arqueológicos ","Restos arqueológicos nisqamanta"
"2414","Ñawpakawsayimarikuchi kunakamay"," Vestigios arqueológicos ","arqueológico nisqa puchuqkuna"
"2415","Ñawpana"," Adelantar ","Ñawpariy"
"2416","Ñawpanchina"," Promover. ","Riqsichiy."
"2417","Ñawpanchina (W)"," Promover ","Riqsichiy"
"2418","Ñawpapacha"," Paleolítico ","Paleolítico nisqa"
"2419","Ñawparimay"," Mito- cuento- leyenda ","mito-cuento-leyenda"
"2420","Ñaña"," Hermana entre hermanas ","ñañakuna ukhupi ñaña"
"2421","Ñañakay"," hermandad entre mujeres ","warmikuna ukhupi sororidad"
"2422","Ñañu"," Delgado ","Tullu"
"2423","Ñañu chunchulli"," Intestino delgado ","Huch’uy wiksa"
"2424","Ñuka"," Yo- mio- mia ","I- mio- mia"
"2425","Ñukanchik"," Nosotras - Nosotros ","Ñuqayku - Ñuqayku"
"2426","Ñukanchikpa"," Nuestro- nuestra ","Nuestro nuestro"
"2427","Ñukapa Yuyaymanta"," De mi consideración ","de mi consideración"
"2428","Ñukik"," sensual ","sensual"
"2429","ñunu"," leche ","leche"
"2430","ñutalla"," Sutil ","Llaqlla"
"2431","ñutku"," Seso ","Ñutqu"
"2432","Ñutu- amuk"," Suave- blando ","llampu- llampu"
"2433","Ñutuñachina"," Ablandar ","Llampuchiy"
